,ImageUrl,Name,Storage_details,Screen_size,Camera_details,Battery_details,Processor,Cost
605,https://rukminim1.flixcart.com/image/312/312/k0h12fk0/mobile/e/6/n/lenovo-a6-note-pagk0026in-original-imafkyahwrfnpghn.jpeg?q=70,"Lenovo A6 Note (Blue, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.46 cm (6.088 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,4000 mAh Battery,MediaTek P22 Octa Core Processor,"7,999"
626,https://rukminim1.flixcart.com/image/312/312/k05ljm80/mobile/w/e/c/lenovo-a6-note-arizona-pagk0027in-original-imafkyahy8ccjg5w.jpeg?q=70,"Lenovo A6 Note (Black, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.46 cm (6.088 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,4000 mAh Battery,MediaTek P22 Octa Core Processor,"7,999"
809,https://rukminim1.flixcart.com/image/312/312/jhql8cw0/mobile/c/k/u/mobiistar-xq-dual-na-original-imaf5p2xjvbws8sp.jpeg?q=70,"Mobiistar XQ Dual (Black, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) Full HD Display,13MP Rear Camera | 13MP + 8MP Dual Front Camera,3000 mAh Li-polymer Battery,Qualcomm Snapdragon 430 Octa Core 1.4 GHz Processor,"7,999"
813,https://rukminim1.flixcart.com/image/312/312/mobile/n/p/t/micromax-canvas-nitro-2-e311-original-imae8trm6qy8whze.jpeg?q=70,"Micromax Canvas Nitro 2 (White & Gold, 16 GB)",2 GB RAM | 16 GB ROM | Expandable Upto 32 GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,2400 mAh Li-Ion Battery,Mediatek MT6592 Octa Core 1.4GHz Processor,"7,999"
907,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"Moto M (Gold, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) Full HD Display,16MP Rear Camera | 8MP Front Camera,3050 mAh Li-Polymer Battery,MediaTek Helio P15 64-bit Octa Core 2.2GHz Processor,"7,999"
913,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"LYF Water F1S (Black, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13.21 cm (5.2 inch) Full HD Display,16MP Rear Camera | 5MP Front Camera,3000 mAh Battery,Qualcomm Snapdragon 652 Octa Core 1.8GHz Processor,"7,999"
1079,https://rukminim1.flixcart.com/image/312/312/jur9nrk0/mobile/g/f/c/tecno-camon-i4-camon-i4-cb7j-original-imafetmcquhsvytg.jpeg?q=70,"Tecno Camon i4 (Champagne Gold, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.75 cm (6.2 inch) HD+ Display,13MP + 8MP | 16MP Front Camera,3500 mAh Battery,"Tecno 111 Promise: One Time Screen Replacement. 100 days Replacement, (12+1) year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase.","7,999"
1080,https://rukminim1.flixcart.com/image/312/312/jyxaw7k0/mobile/d/d/f/tecno-camon-i4-camon-i4-cb7j-original-imafetmw5zuhtgp7.jpeg?q=70,"Tecno Camon i4 (Midnight Black, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.75 cm (6.2 inch) HD+ Display,13MP + 5MP + 8MP | 13MP Front Camera,3500 mAh Battery,"Tecno 111 Promise: One Time Screen Replacement. 100 days Replacement, (12+1) year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase.","7,999"
1115,https://rukminim1.flixcart.com/image/312/312/jgpfs7k0/mobile/a/q/y/samsung-j2-2018-sm-j250g-original-imaf4uwk8zeqyw2g.jpeg?q=70,"Samsung Galaxy J2 2018 (Black, 16 GB)",2 GB RAM | 16 GB ROM | Expandable Upto 256 GB,12.7 cm (5 inch) Display,8MP Rear Camera | 5MP Front Camera,2600 mAh Battery,Snapdragon 425 Processor,"7,999"
1152,https://rukminim1.flixcart.com/image/312/312/mobile/c/n/y/samsung-galaxy-on7-sm-g600f-original-imaecqkgfgtmaw2y.jpeg?q=70,"Samsung Galaxy On7 (Black, 8 GB)",1.5 GB RAM | 8 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Li-Ion Battery,Qualcomm Snapdragon 410 Quad Core 1.2GHz Processor,"7,999"
